request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This keeps the IDR 24768300 minimum protected over the next 90 days.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This keeps the ZAR 20500 minimum protected over the next 90 days.
request_28,486.4,affordable_later,wait,2024-08-03:1302.4,2024-08-03,none,Pay EUR 1302.4 in full on 2024-08-03. Paying earlier would take the balance below the EUR 1100 minimum.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 today. This keeps the ZAR 28300 minimum protected over the next 90 days.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This keeps the USD 900 minimum protected."
request_31,11772326.06,affordable_later,wait,2024-10-16:18164000,2024-10-16,none,Pay IDR 18164000 in full on 2024-10-16. Paying earlier would take the balance below the IDR 16588900 minimum.
request_32,23199.0,affordable_later,wait,2025-04-18:40018,2025-04-18,none,Pay ZAR 40018 in full on 2025-04-18. Paying earlier would take the balance below the ZAR 35700 minimum.
request_33,57228.26,affordable_later,wait,2026-03-15:118000,2026-03-15,none,Pay INR 118000 in full on 2026-03-15. Paying earlier would take the balance below the INR 102100 minimum.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This keeps the INR 138500 minimum protected over the next 90 days.
request_35,57023.79,affordable_later,wait,2026-01-16:212000,2026-01-16,none,Pay INR 212000 in full on 2026-01-16. Paying earlier would take the balance below the INR 106400 minimum.
request_36,928.78,not_affordable,not_recommended,none,,none,Do not proceed with the USD 3954 request by 2026-09-15. None of the available options keeps the USD 2400 minimum protected.
request_37,5780865.72,affordable_later,wait,2024-06-03:14649000,2024-06-03,none,Pay IDR 14649000 in full on 2024-06-03. Paying earlier would take the balance below the IDR 17056200 minimum.
request_38,283.7,affordable_later,wait,2025-10-13:971.3,2025-10-13,none,Pay EUR 971.3 in full on 2025-10-13. Paying earlier would take the balance below the EUR 400 minimum.
request_39,172142.89,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Pay INR 208600 in full on 2026-04-15. Paying earlier would take the balance below the INR 213400 minimum.
request_40,696.0,affordable_later,wait,2024-08-13:1290.3,2024-08-13,none,Pay EUR 1290.3 in full on 2024-08-13. Paying earlier would take the balance below the EUR 1500 minimum.
request_41,14511770.3,affordable_later,wait,2026-01-16:38760000,2026-01-16,none,Pay IDR 38760000 in full on 2026-01-16. Paying earlier would take the balance below the IDR 25366600 minimum.
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today. This keeps the INR 113100 minimum protected over the next 90 days.
request_43,11485500.0,affordable_later,wait,2024-11-13:43339000,2024-11-13,none,Pay IDR 43339000 in full on 2024-11-13. Paying earlier would take the balance below the IDR 21398000 minimum.
request_44,50160.0,affordable_later,wait,2025-04-18:95800,2025-04-18,none,Pay INR 95800 in full on 2025-04-18. Paying earlier would take the balance below the INR 82900 minimum.
request_45,6387792.83,not_affordable,not_recommended,none,,none,Do not proceed with the IDR 21983000 request by 2026-09-15. None of the available options keeps the IDR 11149800 minimum protected.
